name,sku,category,price,qty,image,images,video,description,featured
Power Bomb,fwsm-6410,Reloadables,89.99,999,https://fireworkssupermarket.com/wp-content/uploads/2957_01.png,,https://player.vimeo.com/video/1178615051,"Prepare for the Power Bomb! This variety of 6"" shells offer the largest brocades of completely different colors and effects, featuring color-changing strobes, mines, and neon colors to name a few. 12 shots.",
Bubsy,fwsm-6528,500 Gram,79.99,999,https://fireworkssupermarket.com/wp-content/uploads/bubsy.png,,https://player.vimeo.com/video/1063697953,"Introducing &#8220;Bubsy&#8221;, the enchanting 28-shot cake inspired by the most adorable rainbow creature ever! Watch as this fanned cake of Chrysanthemums, Dahlias, and Mines burst into a playful dance of all the colors of the rainbow. Each sequence is sprinkled with time rain and falling leaves, capturing the charm and joy of Busby's colorful adventures in the sky.",
Strobe Storm,fwsm-5893,Rockets,39.99,999,https://fireworkssupermarket.com/wp-content/uploads/1558_01.png,,https://player.vimeo.com/video/1140186987,"A brilliant flashing strobe rocket climbs to an impressive height, then explodes with a satisfying BOOM into a cascade of sparkling glitter.",
Meteor Mania,fwsm-5966,500 Gram,99.99,999,https://fireworkssupermarket.com/wp-content/uploads/5905_01.png,,https://player.vimeo.com/video/1131015724,"Glowing shots of dahlias of lemon, green, blue, orange, and purple streak across the sky in cosmic color. 25 Shots",
Spirit Candles,fwsm-5892,Roman Candles,16.99,999,https://fireworkssupermarket.com/wp-content/uploads/1397_01.png,,https://player.vimeo.com/video/1130947183,"Each fires unique effects &#8211; from brocades and willows to glitter, fish, and crackle. 5 Shots",
Liberty Box,fwsm-6271,Assortments,999.99,999,https://fireworkssupermarket.com/wp-content/uploads/3378_01.png,,,"Freedom packed to the brim! This mammoth assortment brings together some of Showtime's most crowd-crushing 200g and 500g cakes all in one powerhouse box. Expect big breaks, bold colors, and sky-filling finales &#8211; the kind of lineup that turns your backyard into center stage. One Box. All the heavy hitters. Light the fuse and let freedom ring!",
Freedom's Crack,fwsm-5946,Reloadables,14.99,999,https://fireworkssupermarket.com/wp-content/uploads/4652_01.png,,https://player.vimeo.com/video/1095065202,This set of 30mm tubes offers four distinct aerial moments. Each contributing to its unique voice of this unforgettable salute to liberty. (Each tube is clearly marked with its specific effects and colors.),
Talons of Thunder,fwsm-6261,Reloadables,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/4651_01.png,,https://player.vimeo.com/video/1095076544,"Unleash the thunder with these 12 individual 45MM tubes! Each tube soars with its own distinct tail and unique, powerful effect. Witness a dazzling array of crackling mines, glitter willows, and vibrant patriotic bursts. A majestic aerial triumph! (Each tube is clearly marked with its specific effects and colors.)",
Yuuuuge!,fwsm-5953,200 Gram,49.99,999,https://fireworkssupermarket.com/wp-content/uploads/5896_01.png,,https://player.vimeo.com/video/1130950404,"We’re talking the most luxurious fireworks in history, folks. Seven massive, golden, totally perfect willows lighting up the sky with red, white, and blue — the best colors, by the way. People are saying it’s incredible — and they’re right. 7 Shots",
Wings of Valor,fwsm-5970,500 Gram,175.00,999,https://fireworkssupermarket.com/wp-content/uploads/5909_01.png,,https://player.vimeo.com/video/1131016770,Heroic shots spread brilliant gold coco tails and colorful stars across the sky in a soaring tribute to freedom. 48 Shots,
Tickle My Pickle,fwsm-5930,200 Gram,34.99,999,https://fireworkssupermarket.com/wp-content/uploads/2865_01.png,,https://player.vimeo.com/video/1130949481,"Tickle My Pickle fires colorful mines, buzzing bees, crackling comets, and silver whistlers that’ll leave everyone delightfully tickled and grinning from ear to ear! 49 Shots",
Star Spangled Salute,fwsm-5968,500 Gram,159.99,999,https://fireworkssupermarket.com/wp-content/uploads/5907_01.png,,https://player.vimeo.com/video/1131016178,"Huge flowering crowns, red and blue stars, and silver crackling strands create a patriotic sky-show worthy of a salute. 9 Shots",
Spirit of Sam,fwsm-5932,Reloadables,39.99,999,https://fireworkssupermarket.com/wp-content/uploads/4650_01.png,,https://player.vimeo.com/video/1095075166,"Each 30MM tube launches with its own tail, delivering majestic gold palms, Nishiki willows, and vibrant gold crackle. (Each tube is clearly marked with its specific effects and colors.) 12 Shots",
Spill the Tea,fwsm-5951,500 Gram,49.99,999,https://fireworkssupermarket.com/wp-content/uploads/5897_01.png,,https://player.vimeo.com/video/1130950760,"Seven gigantic red, white, and blue chrysanthemums erupt with glittering bursts that’ll have the whole neighborhood talking. 7 Shots",
Silent Spirit,fwsm-5931,Spinners,9.99,999,https://fireworkssupermarket.com/wp-content/uploads/3211_01.png,,https://player.vimeo.com/video/1131018976,"Silent Spirit takes flight with whistling lift, unique green sparks, and crackling bursts — a triple-pack of high-flying fun.",
Show Me Your Beads,fwsm-5928,200 Gram,24.99,999,https://fireworkssupermarket.com/wp-content/uploads/2863_01.png,,https://player.vimeo.com/video/1130948659,"Gold and silver mines burst alongside colorful peonies and crackling stars, lighting up the sky for over 90 seconds of nonstop, crowd-pleasing celebration — get ready to show the neighborhood your beads! 200 Shots",
Pixie Panic,fwsm-5927,200 Gram,22.00,999,https://fireworkssupermarket.com/wp-content/uploads/2862_01.png,,https://player.vimeo.com/video/1130947712,"Pixies panic with sixteen shots of golden comet tails bursting into pink, blue, green, and purple pearls with dazzling glitter. It’s a wild swirl of color and sparkle. 16 Shots",
Peek-A-Boom,fwsm-5896,Fountains,24.99,999,https://fireworkssupermarket.com/wp-content/uploads/2025_01.png,,https://player.vimeo.com/video/1131018329,"Peek-A-Boom! Showering with gold and blue fountains, colorful stars, and bright pine and sunflower effects — draws eyes with its cute shape!",
Midnight Hammer,fwsm-5960,500 Gram,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/5900_01.png,,https://player.vimeo.com/video/1131014415,"Massive crackling chrysanthemums and mines of red, green, purple, and orange pound the sky with pure power. 25 Shots",
Make America Boom Again,fwsm-5969,500 Gram,149.99,999,https://fireworkssupermarket.com/wp-content/uploads/5908_01.png,,https://player.vimeo.com/video/1131016522,Silver flower waves burst with red and blue brilliance in a rapid-fire display that’s pure patriotic perfection. 90 Shots,
Lions Dance,fwsm-5895,Fountains,6.99,999,https://fireworkssupermarket.com/wp-content/uploads/1989_01.png,,https://player.vimeo.com/video/1131018774,"This silver and gold fountain roars to life, delivering a majestic shower of sparks worthy of a true king.",
Jack Attack,fwsm-5926,200 Gram,19.99,999,https://fireworkssupermarket.com/wp-content/uploads/2861_01.png,,https://player.vimeo.com/video/1130945151,"Attacking shots of red, white, and blue pistils with time rain, gold willows, and glittering finales that light up the night with pure adrenaline. Each burst hits hard and fast, leaving you amped and wanting more! 18 Shots",
Harbor Blast,fwsm-5948,500 Gram,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/Harbor-Blast-Render.png,,https://player.vimeo.com/video/1095066927,"Starts with shimmering white glitter mines, ascending to magnificent brocades that transition to bold blues, radiant reds, and lush greens. The finale bursts with white glitter and a crackling chrysanthemum, lighting up your night like a beacon of liberty! 8 Shots",
Goody Goody Gumballs,fwsm-5962,500 Gram,75.00,999,https://fireworkssupermarket.com/wp-content/uploads/5902_01.png,,https://player.vimeo.com/video/1131014976,"Red glitter mines burst into volleys of colorful crackling tails, gold chrysanthemums, and bright stars that pop like candy. 25 Shots",
Goal Getter,fwsm-5897,Fountains,24.99,999,https://fireworkssupermarket.com/wp-content/uploads/2026_01.png,,https://player.vimeo.com/video/1131018565,"This multicolor, multi-effect fountain kicks off the night with a winning combo of sparks, glitter, and celebration energy.",
Glow Crazy,fwsm-5925,200 Gram,14.99,999,https://fireworkssupermarket.com/wp-content/uploads/2860_01.png,,https://player.vimeo.com/video/1131014730,"Glowing shots light up the sky with brilliant Ti-gold coco bursts, crackle, and glitter. Each mix of vivid colors and dazzling patterns will dazzle your senses! 7 Shots",
Freedom Machine,fwsm-5959,500 Gram,64.99,999,https://fireworkssupermarket.com/wp-content/uploads/5899_01.png,,https://player.vimeo.com/video/1130951390,"Unleash the Freedom Machine with a barrage of red, white, and blue thunder and blinding, vicious glitter ripples across the darkness. 24 Shots",
Eras,fwsm-5929,200 Gram,24.99,999,https://fireworkssupermarket.com/wp-content/uploads/2864_01.png,https://fireworkssupermarket.com/wp-content/uploads/2864_01.png,https://player.vimeo.com/video/1130949112,"An incredible love story of comets, willows, and whirlpools bursting into brilliant multi-color displays. Time flies with brocade crowns and tails lighting up the sky like a chart-topping hit! 15 Shots",
Double Doozy,fwsm-5965,500 Gram,99.99,999,https://fireworkssupermarket.com/wp-content/uploads/5904_01.png,,https://player.vimeo.com/video/1131015454,"Spectacular double-ring shells that fill the sky with stunning symmetry. These blue, red, and green rings are huge! 9 Shots",
Dot Muncher,fwsm-5964,500 Gram,99.99,999,https://fireworkssupermarket.com/wp-content/uploads/5903_01.png,,https://player.vimeo.com/video/1131015226,"This power-packed muncher unleashes shots of chrysanthemum mines, vibrant stars, and howling wolf whistles that devour the dark and steal the show. 36 Shots",
Celebramos!,fwsm-5954,500 Gram,59.99,999,https://fireworkssupermarket.com/wp-content/uploads/5898_01.png,,https://player.vimeo.com/video/1130951121,"Let’s celebrate! This incredible cake launches bold plumes of orange, blue, purple, and green, delivering a massive, glittering fiesta in the sky. ¡Que siga la fiesta! 20 Shots",
Brain Rot,fwsm-5961,500 Gram,75.00,999,https://fireworkssupermarket.com/wp-content/uploads/5901_01.png,,https://player.vimeo.com/video/1130946442,"This mind-melter blasts blue mines, multicolor dahlias, and silver chrysanthemums. The vivid color transitions and explosive rhythm will totally slay&#8230;NO CAP! 24 Shots",
Blood Sucker,fwsm-5967,500 Gram,99.99,999,https://fireworkssupermarket.com/wp-content/uploads/5906_01.png,,https://player.vimeo.com/video/1131015919,"This powerful 500-gram cake delivers ravenous shots of piercing, red, wolf-whistles and brilliant white glitter. 30 Shots",
Banner Barrage,fwsm-5949,500 Gram,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/4667_01-1.png,,https://player.vimeo.com/video/1095060929,"A relentless barrage of crackling mines leading to brilliant dahlias and chrysanthemums in a patriotic palette of red, white, blue, gold, and vibrant purple. A true star-spangled spectacle! 8 Shots",
American Hunnies,fwsm-5971,500 Gram,175.00,999,https://fireworkssupermarket.com/wp-content/uploads/5910_01.png,,https://player.vimeo.com/video/1131017135,"This sweet trio of 20-shot cakes is positively spiffy, each designed with a dazzling style all her own! An incrediblely designed show! 60 Shots",
All Systems GO!,fwsm-5898,200 Gram,14.99,999,https://fireworkssupermarket.com/wp-content/uploads/2859_01.png,,https://player.vimeo.com/video/1130947426,"Launches a dazzling mix of comets, brocades, glitter, peonies, and chrysanthemums that roar into the sky in a full-throttle countdown of color and crackle. 9 Shots",
Lone Whistler,fwsm-5894,Rockets,29.99,999,https://fireworkssupermarket.com/wp-content/uploads/1559_01.png,,https://player.vimeo.com/video/1131019227,"WOLF WHISTLE! Six screaming rockets howl into the night with effects like time willows, titanium crackles, chrysanthemums, flying fish, and red-white-blue glitter stars.",
Jumpin' Jellyfish,fwsm-5366,200 Gram,16.99,999,https://fireworkssupermarket.com/wp-content/uploads/jumpin-jellyfish-1.png,,https://player.vimeo.com/video/1030801666,"These jellyfish do their magic in the sky! Red, blue, and green stars with white glitter, gold tails, and crackles! 9 Shots",
Mafioso,fwsm-5364,500 Gram,79.99,999,https://fireworkssupermarket.com/wp-content/uploads/mafioso-1.png,,https://player.vimeo.com/video/1040195983,"Be the king of your street with stars, brocades, dahlias and whistles breaking with the royal colors of blue, purple, and orange. 25 Shots",
Cocked &#8216;N Locked,fwsm-5362,500 Gram,85.00,999,https://fireworkssupermarket.com/wp-content/uploads/cocked-n-locked-1.png,,https://player.vimeo.com/video/1020256129,Drop the hammer on these LOUD wolf howling whistles bursting into a spray of different colors. 25 Shots,
Champagne Dreams,fwsm-5360,500 Gram,85.00,999,https://fireworkssupermarket.com/wp-content/uploads/5891-Champagne-Dreams.png,,https://player.vimeo.com/video/1040106826,Let this opulent all gold firework help you celebrate any occasion. Gorgeous all gold brocades with long lasting gold glitter and beautiful flower crowns. 25 Shots,
Presidential Party,fwsm-4763,500 Gram,49.99,999,https://fireworkssupermarket.com/wp-content/uploads/presidential-party-1.png,,https://player.vimeo.com/video/1035280324,"Party like it is 1776 with this beautiful array of stars and crackles bursting in the patriotic colors of red, white, and blue! 12 Shots",
Rude Awakening,fwsm-3615,Fountains,28.99,999,https://fireworkssupermarket.com/wp-content/uploads/rude-awakening-1.png,,https://player.vimeo.com/video/1020254045,Even the deepest sleeper would be awakened by these whistles and reports breaking into bright multi-colored sparks for super fun!,
Pyro Pinata,fwsm-3613,200 Gram,29.99,999,https://fireworkssupermarket.com/wp-content/uploads/pyro-pinata-1.png,,https://player.vimeo.com/video/1035759434,"Light the fuse and watch this pinata explode into dazzling chrysanthemums bursting into yellow, red, green, and blue stars! 15 Shots",
Gone Bananas,fwsm-3602,200 Gram,19.99,999,https://fireworkssupermarket.com/wp-content/uploads/gone-bananas-1.png,,https://player.vimeo.com/video/1030823832,Pretty silver disc mines with red coconut and blue dahlia bursts. 36 Shots,
Dr. Popper,fwsm-3598,500 Gram,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/dr-popper-1.png,,https://player.vimeo.com/video/1020261006,This doctor gets poppin' with huge action packed fountain that turns into gigantic colorful bursts! 24 Shots,
Da Big Box O' Bombs,fwsm-1579,Assortments,225.00,999,https://fireworkssupermarket.com/wp-content/uploads/6342-Da-Big-Box-O-Bombs.png,,https://player.vimeo.com/video/516270550,Each of these four 500g cakes comes with a variety of colors and effects ranging from crackling tails to zooming fish. Each cake lasts over 30 seconds and has 36 shots.,
Mob Madness,fwsm-1573,Assortments,250.00,999,https://fireworkssupermarket.com/wp-content/uploads/6270-Mob-Madness.png,,,"A mixed set of four Brothers Heavy Weight 500-gram repeaters all lasting over 30 seconds with effects such as: Rich multi-colored shots, tails, willows, crackling, flowers, peony, swirling dragons, time rain, and brocades all ending in a multi-shot finale.",
Parrots' Prattle,fwsm-1571,500 Gram,75.00,999,https://fireworkssupermarket.com/wp-content/uploads/6269-Parrots-Prattle.png,,https://player.vimeo.com/video/521981264,This noisy bird bursts in with whistling palms and strobes in the tropical colors of red and white. 36 Shots,
Incredible,fwsm-1528,500 Gram,59.99,999,https://fireworkssupermarket.com/wp-content/uploads/5851-Incredible.png,,https://player.vimeo.com/video/377180345,"Incredible mines to glittering dahlia, plums, coconut, and a multi-shot finale bedazzle the sky with the brightest neons. 12 Shots",
Rip Curl,fwsm-1520,500 Gram,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/5838-Rip-Curl.png,,https://player.vimeo.com/video/292213122,"EXPLOSIVE time rain mine to huge red, green, sky blue, lemon and purple bursts; Huge white glitter bursts with explosive LOUD crackling silver chrysanthemums. Fast tempo and LOUD! 25 Shots",
Jammin',fwsm-1479,500 Gram,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/5774-Jammin.png,,https://player.vimeo.com/video/265634962,"Red and green glitter, wild whistling, mine gold tail to enormous bursts of fresh red, sea blue, purple, and green with sparkling white glitter. Finishes with gold tail to brocade with fresh red and sparkling white glitter. 30 Shots",
Barely Legal,fwsm-1475,500 Gram,64.99,999,https://fireworkssupermarket.com/wp-content/uploads/5771-Barely-Legal.png,,https://player.vimeo.com/video/264319953,Gigantic bursts of fresh red stars with white glitter; green and purple stars with white glitter; fresh red and yellow stars with white glitter ending in a barrage of really loud brocade to crackling! 19 Shots,
Great Expectations,fwsm-1417,200 Gram,12.99,999,https://fireworkssupermarket.com/wp-content/uploads/4421-Great-Expectation.png,,https://player.vimeo.com/video/693685556,"Exceeding expectations these shots of strong breaks, time rain, palm, and crackling tails explode with a show of red, green, and blue. 9 Shots",
Container Load (Bros),fwsm-1383,Assortments,850.00,999,https://fireworkssupermarket.com/wp-content/uploads/3375-Container-Load-Contents.png,,,"This 29 piece assortment includes artillery shells, roman candles, fountains, mine cakes, 500 gram cakes, crackers and spinners.",
Normandy Lander,fwsm-1264,Novelties,10.50,999,https://fireworkssupermarket.com/wp-content/uploads/3032-Normandy-Lander.png,,,"Then the helicopter takes off with blue lights and crackling and whistling white from the stack, red and white crackling from the artillery guns! But, the battle is not over&#8230;The back door comes down, and the tank comes out shooting!",
Blond Joke,fwsm-1247,500 Gram,64.99,999,https://fireworkssupermarket.com/wp-content/uploads/3008-Blond-Joke-1.png,,https://player.vimeo.com/video/264322035,"This uproar is a riot of whistling, with swirling and whirling silver tails! 36 Shots",
Magic Thunder,fwsm-1231,500 Gram,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/2983-Magic-Thunder-1.png,,https://player.vimeo.com/video/265635434,"Alternating silver tail to huge red and gold burst, silver tail to green and gold burst, silver tail to huge silver and gold burst. Ending in a 5 shot volley barrage of loud crackling flowers that fill the sky! 12 Shots",
Uncle Sam's Answer,fwsm-1229,500 Gram,65.00,999,https://fireworkssupermarket.com/wp-content/uploads/2982-Uncle-Sams-Answer.png,,https://player.vimeo.com/video/265639135,Gold crackling stars and multi-colored bursts! 16 shots,
Loud And Rowdy,fwsm-1224,500 Gram,69.99,999,https://fireworkssupermarket.com/wp-content/uploads/2974-Loud-And-Rowdy.png,,https://player.vimeo.com/video/265635314,"Gigantic bursts of red and green glitter, silver crackling, and spectacular blues! This aerial has some of the highest lift found in any cake. 9 Shots",
Diamonds in the Dark,fwsm-1158,200 Gram,18.99,999,https://fireworkssupermarket.com/wp-content/uploads/2822-Diamonds-In-The-Dark.png,,https://player.vimeo.com/video/265656081,Huge gold crackling bursts that explode into a barrage of crackling stars. The bursts get faster and faster until you have several huge bursts in the sky at the same time for the finale! 20 Shots,
Gang Bangers,fwsm-1138,200 Gram,24.99,999,https://fireworkssupermarket.com/wp-content/uploads/2802-Gang-Bangers-scaled.png,,https://player.vimeo.com/video/376918543,Golden tail to a golden wave coconut with green strobe; Golden tail to golden wave coconut with golden strobe; Golden tail to golden wave coconut with white strobe. 16 Shots,
Bling-Bling,fwsm-1124,200 Gram,28.99,999,https://fireworkssupermarket.com/wp-content/uploads/2795-Bling-Bling.png,,https://player.vimeo.com/video/265654318,"Green Bling with purple stars and red, blue and white Bling. Red and green bouquets with time delay Bling and crackling Bling. Shots of two different diameters. 36 Shots",
Party On,fwsm-1064,200 Gram,6.99,999,https://fireworkssupermarket.com/wp-content/uploads/2754-Party-On.png,,https://player.vimeo.com/video/265664682,Big bursts of white glitter with red stars alternating with white glitter with green stars; Ending with crackling silver chrysanthemum. 7 Shots,
Itty Bitty Bombs,fwsm-1050,200 Gram,28.00,999,https://fireworkssupermarket.com/wp-content/uploads/2746-Itty-Bitty-Bomb-scaled.png,,https://player.vimeo.com/video/374687410,"Not so itty bitty 4 pack 200-gram assortment 1. Gold and silver; stars; tails; brocade; time rain. 7 Shots. 2. Silver and blue; stars; tails; fish. Low noise item. 7 Shots 3. Green and gold; stars; tails; brocade; time rain. 9 Shots 4. Red, white, and blue; stars; tails; palms; glitter; time rain. 9 Shots",
Boogie Nights,fwsm-1033,200 Gram,14.99,999,https://fireworkssupermarket.com/wp-content/uploads/2691-Boogie-Nights.png,,https://player.vimeo.com/video/345986550,"You will boogie all night with this multi-shot extravaganza! Starts with red, green, and gold fountain then shoots six red, green and gold bursts! 6 Shots",
Chain Reaction,fwsm-588,500 Gram,135.00,999,https://fireworkssupermarket.com/wp-content/uploads/5630-Chain-Reaction.png,,https://player.vimeo.com/video/264322093,"A rapid-fire multi-colored shot of red, green, yellow, white, and purple precede a finale of 6 GIGANTIC bursts of red and blue, purple and green, lemon and purple with white glitter and turquoise, deep purple and gold glitter. 86 Shots",
Chroma Chameleon Premium,fwsm-576,500 Gram,179.99,999,https://fireworkssupermarket.com/wp-content/uploads/4441-Chroma-Chameleon-Premium.png,,https://player.vimeo.com/video/692404565,This angled-zipper cake features color-changing dahlia tails and peony breaks featuring every color in the rainbow! 99 Shots,
Rise N Shine,fwsm-525,Fountains,34.99,999,https://fireworkssupermarket.com/wp-content/uploads/rise-n-shine-1.png,,https://player.vimeo.com/video/922126098,Each cup provides a vibrant assortment of colors and a combination of sparks and glitter.,
Shimmer Sticks,fwsm-498,Sparklers,9.99,999,https://fireworkssupermarket.com/wp-content/uploads/shimmer-sticks.png,,https://player.vimeo.com/video/1036130217,"These red, blue, yellow, green, and purple sparkle sticks are a great way to add a little spark to your celebrations!",
Blast Radius,fwsm-495,Novelties,7.99,999,https://fireworkssupermarket.com/wp-content/uploads/blast-radius-1.png,,https://player.vimeo.com/video/1033540181,"Celebrate the USA with red, white, and blue colored smoke!",
Gone Wild,fwsm-491,500 Gram,79.99,999,https://fireworkssupermarket.com/wp-content/uploads/2994-Gone-Wild.png,,https://player.vimeo.com/video/264322271,This uniquely shaped item shoots 6 alternating shots of red tail to huge white glitter bursts with red stars then blue tail to huge gold glitter bursts with blue stars. 36 Shots,
Intensity,fwsm-480,500 Gram,65.00,999,https://fireworkssupermarket.com/wp-content/uploads/5809-Intensity.png,,https://player.vimeo.com/video/191823009,"Silver chrysanthemum mines melt into colors of sky blue, orange, purple, and grass green with loud crackling chrysanthemums. 36 Shots",
Shake It Up,fwsm-428,500 Gram,84.99,999,https://fireworkssupermarket.com/wp-content/uploads/5807-Shake-it-Up.png,,https://player.vimeo.com/video/191823466,"This loud cake has huge bursts of beautiful colors and amazing glitter. Brocade tail to red, sky blue with white glitter; brocade with white glitter; titanium crackling willow with green glitter. 9 Shots",
Sweet Liberty,fwsm-331,500 Gram,54.99,999,https://fireworkssupermarket.com/wp-content/uploads/5878-Sweet-Liberty-2-1.png,,https://player.vimeo.com/video/779391205,"Show your American pride by filling the sky with an incredible angled shots of glitter, tail whirlpools, and chrysanthemums breaking in the patriotic colors of red, white, and blue. An incredible long-lasting show. 324 Shots",
Pickled Parrot,fwsm-321,500 Gram,85.00,999,https://fireworkssupermarket.com/wp-content/uploads/5822-Pickled-Parrot.png,,https://player.vimeo.com/video/243899576,"This angled 500 gram item is BEUATIFUL! Crackling tail to a spider with red glitter, green glitter, white glitter and gold glitter. 25 Shots",
Tank Busters,fwsm-283,Reloadables,199.99,999,https://fireworkssupermarket.com/wp-content/uploads/4435-Tank-Busters.png,,https://player.vimeo.com/video/692404715,"A combo-pack of single, double, and triple burst shots in 5"", 6"", and impressive 7"" shells! Each shell contains a variety of palm tree brocades, whisltes, crackling, willows, kamuros, peonies in a multitude of colors. 24 Shots",
Neon Nightmare,fwsm-275,Reloadables,115.00,999,https://fireworkssupermarket.com/wp-content/uploads/2973-Neon-Nightmare-scaled.png,,https://player.vimeo.com/video/246336353,Shocking NEON colored shells that are all completely different. Maxed out at 60 grams for HUGE and LOUD bursts. 16 Shots,
Bang Master,fwsm-202,500 Gram,169.99,999,https://fireworkssupermarket.com/wp-content/uploads/5836-Bang-Master.png,,https://player.vimeo.com/video/310882602,Nine explosive shots of brocade to blue and white glitter; brocade to blue with red glitter; brocade to blue with red glitter; ending with a powerful 3 shot finale of LOUD crackling brocades to blue. 9 shots.,
Pillow Fight,fwsm-5353,200 Gram,0.00,999,https://fireworkssupermarket.com/wp-content/uploads/Pillow-Fight-1.png,,https://player.vimeo.com/video/917269883,Red/blue tails to marvelous gold willow to long-lasting red/white/gold lace!Red/blue tails to marvelous gold willow to long-lasting red/white/gold lace!,
Cosmic Radiance,fwsm-3230,500 Gram,44.99,999,https://fireworkssupermarket.com/wp-content/uploads/4524-Cosmic-Radiance-1.png,,https://player.vimeo.com/video/1063699201,"Witness a cosmic spectacle like never before. As the night sky transforms into a mesmerizing canvas, Cosmic Radiance unleashes a shower of strobing stars, brocade crown bursts, and crackling. Each explosion illuminates the darkness with a breathtaking display of vivid whites, reds, purples, blues and gold in an awe-inspiring &#8220;X&#8221; pattern, creating a truly out-of-this-world experience.",
Seeker,fwsm-3228,500 Gram,64.99,999,https://fireworkssupermarket.com/wp-content/uploads/4527-Seeker-1.png,,https://player.vimeo.com/video/1063706235,"&#8220;Seeker&#8221; is a mysterious 36-shot spectacle that pierces the darkness with vivid bursts of gold, silver, red, blue, and purple. Witness the enchanting play of Crackle, Strobe, and Floral effects, combined with the grandeur of Brocade Crown and Falling Leaves. Each shot ascends straight into the night, displaying a tapestry of light and mystery.",
Quantum Leap,fwsm-3226,200 Gram,29.99,999,https://fireworkssupermarket.com/wp-content/uploads/4504-Quantum-Leap-1.png,,https://player.vimeo.com/video/1063687455,"Expect a dazzling celebration with this 25 shot angled cake. Quantum Leap will showcase colored tails, bursts, strobe and time rain with colors of red, green, purple and silver.",
Super Assortment Safe &#038; Sane,fwsm-1351,Assortments,32.00,999,https://fireworkssupermarket.com/wp-content/uploads/3311-Super-Assortment-Safe-and-Sane-scaled.png,,,"The best variety of ground effect fireworks that includes fountains, spinners, smoke, sparklers, and strobes!",
